"id";"nhl_player_id";"type";"year";"team";"league";"gpi";"w";"l";"t";"otl";"min";"so";"ga";"sha";"gaa";"svpct";"created";"modified"
"1";"19";"regular";"2010";"Chicago";"NHL";"2";"0";"1";NULL;"1";"123";"0";"7";"67";"3.42";"0.896";"2010-10-15 08:47:15";NULL
"2";"19";"regular";"2009";"Dallas";"NHL";"53";"22";"20";NULL;"11";"3088";"4";"140";"1605";"2.72";"0.913";"2010-10-15 08:47:16";NULL
"3";"19";"regular";"2008";"Dallas";"NHL";"74";"33";"31";NULL;"10";"4327";"3";"203";"1993";"2.81";"0.898";"2010-10-15 08:47:16";NULL
"4";"19";"regular";"2007";"Dallas";"NHL";"62";"32";"21";NULL;"6";"3629";"3";"140";"1543";"2.32";"0.909";"2010-10-15 08:47:16";NULL
"5";"19";"regular";"2006";"Dallas";"NHL";"67";"38";"20";NULL;"5";"3764";"6";"140";"1564";"2.23";"0.910";"2010-10-15 08:47:16";NULL
"6";"19";"regular";"2005";"Dallas";"NHL";"68";"41";"19";NULL;"5";"3910";"3";"166";"1624";"2.55";"0.898";"2010-10-15 08:47:16";NULL
"7";"19";"regular";"2004";"Djurgarden";"Swe";"6";NULL;NULL;NULL;NULL;"356";"1";"12";"176";"2.02";"0.932";"2010-10-15 08:47:16";NULL
"8";"19";"regular";"2003";"Dallas";"NHL";"73";"37";"21";"13";NULL;"4359";"9";"144";"1648";"1.98";"0.913";"2010-10-15 08:47:16";NULL
"9";"19";"regular";"2002";"Dallas";"NHL";"55";"31";"10";"10";NULL;"3203";"7";"92";"1359";"1.72";"0.932";"2010-10-15 08:47:16";NULL
"10";"19";"regular";"2001";"Dallas";"NHL";"31";"15";"6";"2";NULL;"1519";"2";"53";"670";"2.09";"0.921";"2010-10-15 08:47:16";NULL
"11";"19";"regular";"2001";"Canada";"WC";"3";"2";"1";NULL;NULL;"166";"1";"5";NULL;"1.81";NULL;"2010-10-15 08:47:16";NULL
"12";"19";"regular";"2000";"Dallas";"NHL";"26";"13";"6";"1";NULL;"1266";"3";"40";"532";"1.90";"0.925";"2010-10-15 08:47:16";NULL
"13";"19";"regular";"1999";"Michigan";"IHL";"60";"23";"27";"7";NULL;"3399";"7";"139";"1650";"2.45";"0.916";"2010-10-15 08:47:16";NULL
"14";"19";"regular";"1998";"Michigan";"IHL";"54";"24";"17";"10";NULL;"3127";"1";"136";"1701";"2.61";"0.920";"2010-10-15 08:47:16";NULL
"15";"19";"regular";"1997";"Michigan";"CCHA";"45";"33";"10";"1";NULL;"2640";"4";"95";"1022";"2.16";"0.907";"2010-10-15 08:47:16";NULL
"16";"19";"regular";"1996";"Michigan";"CCHA";"41";"33";"4";"4";NULL;"2296";"4";"87";"813";"2.27";"0.893";"2010-10-15 08:47:16";NULL
"17";"19";"regular";"1995";"Michigan";"CCHA";"42";"34";"7";"1";NULL;"2335";"5";"84";NULL;"2.16";NULL;"2010-10-15 08:47:16";NULL
"18";"19";"regular";"1994";"Michigan";"CCHA";"37";"27";"7";"1";NULL;"2063";"1";"95";NULL;"2.76";NULL;"2010-10-15 08:47:16";NULL
"19";"19";"regular";"1993";"Cambridge";"OJHL-B";"34";"19";"10";"3";NULL;"1973";"0";"114";NULL;"3.47";NULL;"2010-10-15 08:47:16";NULL
"20";"19";"playoff";"2007";"Dallas";"NHL";"18";"10";"8";NULL;NULL;"1152";"1";"40";"511";"2.08";"0.922";"2010-10-15 08:47:16";NULL
"21";"19";"playoff";"2006";"Dallas";"NHL";"7";"3";"4";NULL;NULL;"509";"3";"11";"229";"1.30";"0.952";"2010-10-15 08:47:16";NULL
"22";"19";"playoff";"2005";"Dallas";"NHL";"5";"1";"4";NULL;NULL;"319";"0";"18";"136";"3.39";"0.868";"2010-10-15 08:47:16";NULL
"23";"19";"playoff";"2003";"Dallas";"NHL";"5";"1";"4";NULL;NULL;"325";"0";"18";"119";"3.32";"0.849";"2010-10-15 08:47:16";NULL
"24";"19";"playoff";"2002";"Dallas";"NHL";"12";"6";"6";NULL;NULL;"798";"0";"25";"310";"1.88";"0.919";"2010-10-15 08:47:16";NULL
"25";"19";"playoff";"1998";"Michigan";"IHL";"5";"2";"3";NULL;NULL;"300";"0";"14";"170";"2.80";"0.918";"2010-10-15 08:47:16";NULL
"26";"33";"regular";"2009";"Ilves";"Fin";"16";"4";"10";"2";NULL;"953";"0";"48";"445";"3.02";"0.892";"2010-10-15 08:47:44";NULL
"27";"33";"regular";"2006";"TPS";"Fin";"48";"21";"16";"11";NULL;"2888";"3";"121";"1473";"2.51";"0.918";"2010-10-15 08:47:44";NULL
"28";"33";"regular";"2005";"Portland";"AHL";"16";"11";"5";NULL;"0";"970";"1";"37";"487";"2.29";"0.924";"2010-10-15 08:47:44";NULL
"29";"33";"regular";"2005";"Chicago";"AHL";"6";"2";"4";NULL;"0";"314";"0";"19";"130";"3.64";"0.854";"2010-10-15 08:47:44";NULL
"30";"33";"regular";"2005";"Columbia";"ECHL";"15";"6";"7";NULL;"2";"894";"0";"52";"534";"3.49";"0.903";"2010-10-15 08:47:44";NULL
"31";"33";"regular";"2002";"Florida";"NHL";"28";"4";"11";"6";NULL;"1376";"1";"66";"707";"2.88";"0.907";"2010-10-15 08:47:44";NULL
"32";"33";"regular";"2002";"Finland";"WC";"3";NULL;NULL;NULL;NULL;"160";"2";"4";NULL;"1.50";NULL;"2010-10-15 08:47:44";NULL
"33";"33";"regular";"2001";"Ottawa";"NHL";"25";"12";"9";"1";NULL;"1309";"3";"54";"578";"2.48";"0.907";"2010-10-15 08:47:44";NULL
"34";"33";"regular";"2001";"Finland";"Olympic";"3";"1";"2";"0";NULL;"179";"0";"9";"99";"3.01";"0.909";"2010-10-15 08:47:44";NULL
"35";"33";"regular";"2000";"Ottawa";"NHL";"22";"12";"5";"4";NULL;"1296";"2";"54";"563";"2.50";"0.904";"2010-10-15 08:47:44";NULL
"36";"33";"regular";"1999";"Ottawa";"NHL";"1";"1";"0";"0";NULL;"60";"0";"2";"19";"2.00";"0.895";"2010-10-15 08:47:44";NULL
