"id";"name";"type";"day";"game";"date";"home";"road";"created";"modified"
"1";"200304";"regular";"1";"1";"2003-10-08";"7";"15";"2010-10-07 20:15:56";NULL
"2";"200304";"regular";"1";"2";"2003-10-08";"3";"18";"2010-10-07 20:15:56";NULL
"3";"200304";"regular";"1";"3";"2003-10-08";"10";"1";"2010-10-07 20:15:56";NULL
"4";"200304";"regular";"2";"1";"2003-10-09";"21";"16";"2010-10-07 20:15:56";NULL
"5";"200304";"regular";"2";"2";"2003-10-09";"30";"19";"2010-10-07 20:15:56";NULL
"6";"200304";"regular";"2";"3";"2003-10-09";"22";"4";"2010-10-07 20:15:56";NULL
"7";"200304";"regular";"2";"4";"2003-10-09";"13";"6";"2010-10-07 20:15:56";NULL
"8";"200304";"regular";"2";"5";"2003-10-09";"11";"14";"2010-10-07 20:15:56";NULL
"9";"200304";"regular";"2";"6";"2003-10-09";"2";"9";"2010-10-07 20:15:56";NULL
"10";"200304";"regular";"2";"7";"2003-10-09";"17";"1";"2010-10-07 20:15:56";NULL
"11";"200304";"regular";"2";"8";"2003-10-09";"12";"25";"2010-10-07 20:15:56";NULL
"12";"200304";"regular";"2";"9";"2003-10-09";"29";"5";"2010-10-07 20:15:56";NULL
"13";"200304";"regular";"3";"1";"2003-10-10";"27";"3";"2010-10-07 20:15:56";NULL
"14";"200304";"regular";"3";"2";"2003-10-10";"24";"14";"2010-10-07 20:15:56";NULL
"15";"200304";"regular";"3";"3";"2003-10-10";"15";"20";"2010-10-07 20:15:56";NULL
"16";"200304";"regular";"3";"4";"2003-10-10";"8";"7";"2010-10-07 20:15:56";NULL
"17";"200304";"regular";"3";"5";"2003-10-10";"23";"26";"2010-10-07 20:15:56";NULL
"18";"200304";"regular";"4";"1";"2003-10-11";"4";"19";"2010-10-07 20:15:56";NULL
"19";"200304";"regular";"4";"2";"2003-10-11";"28";"16";"2010-10-07 20:15:56";NULL
"20";"200304";"regular";"4";"3";"2003-10-11";"30";"2";"2010-10-07 20:15:56";NULL
"21";"200304";"regular";"4";"4";"2003-10-11";"9";"20";"2010-10-07 20:15:56";NULL
"22";"200304";"regular";"4";"5";"2003-10-11";"21";"11";"2010-10-07 20:15:56";NULL
"23";"200304";"regular";"4";"6";"2003-10-11";"22";"24";"2010-10-07 20:15:56";NULL
"24";"200304";"regular";"4";"7";"2003-10-11";"6";"18";"2010-10-07 20:15:56";NULL
"25";"200304";"regular";"4";"8";"2003-10-11";"13";"3";"2010-10-07 20:15:56";NULL
"26";"200304";"regular";"4";"9";"2003-10-11";"17";"10";"2010-10-07 20:15:56";NULL
"27";"200304";"regular";"4";"10";"2003-10-11";"5";"25";"2010-10-07 20:15:56";NULL
"28";"200304";"regular";"4";"11";"2003-10-11";"29";"12";"2010-10-07 20:15:56";NULL
"29";"200304";"regular";"5";"1";"2003-10-12";"7";"14";"2010-10-07 20:15:56";NULL
"30";"200304";"regular";"5";"2";"2003-10-12";"1";"23";"2010-10-07 20:15:56";NULL
"31";"200304";"regular";"5";"3";"2003-10-12";"15";"25";"2010-10-07 20:15:56";NULL
"32";"200304";"regular";"5";"4";"2003-10-12";"8";"26";"2010-10-07 20:15:56";NULL
"33";"200304";"regular";"6";"1";"2003-10-13";"4";"10";"2010-10-07 20:15:56";NULL
"34";"200304";"regular";"6";"2";"2003-10-13";"6";"13";"2010-10-07 20:15:56";NULL
"35";"200304";"regular";"6";"3";"2003-10-13";"9";"29";"2010-10-07 20:15:56";NULL
"36";"200304";"regular";"6";"4";"2003-10-13";"28";"30";"2010-10-07 20:15:56";NULL
"37";"200304";"regular";"7";"1";"2003-10-14";"2";"19";"2010-10-07 20:15:56";NULL
"38";"200304";"regular";"7";"2";"2003-10-14";"16";"30";"2010-10-07 20:15:56";NULL
"39";"200304";"regular";"7";"3";"2003-10-14";"5";"12";"2010-10-07 20:15:56";NULL
"40";"200304";"regular";"8";"1";"2003-10-15";"13";"23";"2010-10-07 20:15:56";NULL
"41";"200304";"regular";"8";"2";"2003-10-15";"10";"3";"2010-10-07 20:15:56";NULL
"42";"200304";"regular";"8";"3";"2003-10-15";"14";"21";"2010-10-07 20:15:56";NULL
"43";"200304";"regular";"9";"1";"2003-10-16";"20";"2";"2010-10-07 20:15:56";NULL
"44";"200304";"regular";"9";"2";"2003-10-16";"27";"23";"2010-10-07 20:15:56";NULL
"45";"200304";"regular";"9";"3";"2003-10-16";"9";"7";"2010-10-07 20:15:56";NULL
"46";"200304";"regular";"9";"4";"2003-10-16";"16";"24";"2010-10-07 20:15:56";NULL
"47";"200304";"regular";"9";"5";"2003-10-16";"18";"28";"2010-10-07 20:15:56";NULL
"48";"200304";"regular";"9";"6";"2003-10-16";"11";"29";"2010-10-07 20:15:56";NULL
"49";"200304";"regular";"9";"7";"2003-10-16";"15";"8";"2010-10-07 20:15:56";NULL
"50";"200304";"regular";"9";"8";"2003-10-16";"17";"26";"2010-10-07 20:15:56";NULL
"51";"200304";"regular";"9";"9";"2003-10-16";"12";"4";"2010-10-07 20:15:56";NULL
"52";"200304";"regular";"9";"10";"2003-10-16";"25";"22";"2010-10-07 20:15:56";NULL
"53";"200304";"regular";"10";"1";"2003-10-17";"10";"30";"2010-10-07 20:15:56";NULL
"54";"200304";"regular";"10";"2";"2003-10-17";"1";"21";"2010-10-07 20:15:57";NULL
"55";"200304";"regular";"11";"1";"2003-10-18";"16";"28";"2010-10-07 20:15:57";NULL
"56";"200304";"regular";"11";"2";"2003-10-18";"19";"13";"2010-10-07 20:15:57";NULL
"57";"200304";"regular";"11";"3";"2003-10-18";"2";"7";"2010-10-07 20:15:57";NULL
"58";"200304";"regular";"11";"4";"2003-10-18";"20";"6";"2010-10-07 20:15:57";NULL
"59";"200304";"regular";"11";"5";"2003-10-18";"18";"27";"2010-10-07 20:15:57";NULL
"60";"200304";"regular";"11";"6";"2003-10-18";"24";"11";"2010-10-07 20:15:57";NULL
"61";"200304";"regular";"11";"7";"2003-10-18";"17";"9";"2010-10-07 20:15:57";NULL
"62";"200304";"regular";"11";"8";"2003-10-18";"26";"30";"2010-10-07 20:15:57";NULL
"63";"200304";"regular";"11";"9";"2003-10-18";"15";"29";"2010-10-07 20:15:57";NULL
"64";"200304";"regular";"11";"10";"2003-10-18";"5";"4";"2010-10-07 20:15:57";NULL
"65";"200304";"regular";"11";"11";"2003-10-18";"12";"8";"2010-10-07 20:15:57";NULL
"66";"200304";"regular";"11";"12";"2003-10-18";"23";"22";"2010-10-07 20:15:57";NULL
"67";"200304";"regular";"11";"13";"2003-10-18";"14";"3";"2010-10-07 20:15:57";NULL
"68";"200304";"regular";"11";"14";"2003-10-18";"25";"21";"2010-10-07 20:15:57";NULL
"69";"200304";"regular";"12";"1";"2003-10-19";"7";"17";"2010-10-07 20:15:57";NULL
"70";"200304";"regular";"12";"2";"2003-10-19";"10";"15";"2010-10-07 20:15:57";NULL
"71";"200304";"regular";"12";"3";"2003-10-19";"1";"3";"2010-10-07 20:15:57";NULL
"72";"200304";"regular";"13";"1";"2003-10-20";"19";"28";"2010-10-07 20:15:57";NULL
"73";"200304";"regular";"13";"2";"2003-10-20";"20";"13";"2010-10-07 20:15:57";NULL
"74";"200304";"regular";"13";"3";"2003-10-20";"16";"11";"2010-10-07 20:15:57";NULL
"75";"200304";"regular";"13";"4";"2003-10-20";"29";"4";"2010-10-07 20:15:57";NULL
"76";"200304";"regular";"14";"1";"2003-10-21";"27";"2";"2010-10-07 20:15:57";NULL
"77";"200304";"regular";"14";"2";"2003-10-21";"15";"5";"2010-10-07 20:15:57";NULL
"78";"200304";"regular";"14";"3";"2003-10-21";"12";"26";"2010-10-07 20:15:57";NULL
"79";"200304";"regular";"14";"4";"2003-10-21";"8";"3";"2010-10-07 20:15:57";NULL
"80";"200304";"regular";"14";"5";"2003-10-21";"25";"1";"2010-10-07 20:15:57";NULL
"81";"200304";"regular";"14";"6";"2003-10-21";"14";"22";"2010-10-07 20:15:57";NULL
"82";"200304";"regular";"15";"1";"2003-10-22";"18";"13";"2010-10-07 20:15:57";NULL
"83";"200304";"regular";"15";"2";"2003-10-22";"24";"6";"2010-10-07 20:15:57";NULL
"84";"200304";"regular";"15";"3";"2003-10-22";"11";"9";"2010-10-07 20:15:57";NULL
"85";"200304";"regular";"15";"4";"2003-10-22";"10";"28";"2010-10-07 20:15:57";NULL
"86";"200304";"regular";"15";"5";"2003-10-22";"1";"22";"2010-10-07 20:15:57";NULL
"87";"200304";"regular";"15";"6";"2003-10-22";"29";"26";"2010-10-07 20:15:57";NULL
"88";"200304";"regular";"16";"1";"2003-10-23";"9";"27";"2010-10-07 20:15:57";NULL
"89";"200304";"regular";"16";"2";"2003-10-23";"21";"30";"2010-10-07 20:15:57";NULL
"90";"200304";"regular";"16";"3";"2003-10-23";"16";"19";"2010-10-07 20:15:57";NULL
"91";"200304";"regular";"16";"4";"2003-10-23";"3";"6";"2010-10-07 20:15:57";NULL
"92";"200304";"regular";"16";"5";"2003-10-23";"2";"17";"2010-10-07 20:15:57";NULL
"93";"200304";"regular";"16";"6";"2003-10-23";"8";"12";"2010-10-07 20:15:57";NULL
"94";"200304";"regular";"16";"7";"2003-10-23";"23";"28";"2010-10-07 20:15:57";NULL
"95";"200304";"regular";"16";"8";"2003-10-23";"14";"4";"2010-10-07 20:15:57";NULL
"96";"200304";"regular";"16";"9";"2003-10-23";"25";"7";"2010-10-07 20:15:57";NULL
"97";"200304";"regular";"17";"1";"2003-10-24";"24";"18";"2010-10-07 20:15:57";NULL
"98";"200304";"regular";"17";"2";"2003-10-24";"13";"15";"2010-10-07 20:15:57";NULL
"99";"200304";"regular";"17";"3";"2003-10-24";"11";"10";"2010-10-07 20:15:57";NULL
"100";"200304";"regular";"17";"4";"2003-10-24";"5";"26";"2010-10-07 20:15:57";NULL
"101";"200304";"regular";"17";"5";"2003-10-24";"1";"4";"2010-10-07 20:15:57";NULL
"102";"200304";"regular";"18";"1";"2003-10-25";"28";"30";"2010-10-07 20:15:57";NULL
"103";"200304";"regular";"18";"2";"2003-10-25";"16";"21";"2010-10-07 20:15:57";NULL
"104";"200304";"regular";"18";"3";"2003-10-25";"20";"11";"2010-10-07 20:15:57";NULL
"105";"200304";"regular";"18";"4";"2003-10-25";"22";"6";"2010-10-07 20:15:57";NULL
"106";"200304";"regular";"18";"5";"2003-10-25";"9";"10";"2010-10-07 20:15:57";NULL
"107";"200304";"regular";"18";"6";"2003-10-25";"19";"24";"2010-10-07 20:15:57";NULL
"108";"200304";"regular";"18";"7";"2003-10-25";"2";"13";"2010-10-07 20:15:57";NULL
"109";"200304";"regular";"18";"8";"2003-10-25";"18";"3";"2010-10-07 20:15:57";NULL
"110";"200304";"regular";"18";"9";"2003-10-25";"27";"15";"2010-10-07 20:15:57";NULL
"111";"200304";"regular";"18";"10";"2003-10-25";"17";"8";"2010-10-07 20:15:57";NULL
"112";"200304";"regular";"18";"11";"2003-10-25";"12";"5";"2010-10-07 20:15:57";NULL
"113";"200304";"regular";"18";"12";"2003-10-25";"14";"7";"2010-10-07 20:15:57";NULL
"114";"200304";"regular";"18";"13";"2003-10-25";"25";"23";"2010-10-07 20:15:57";NULL
"115";"200304";"regular";"19";"1";"2003-10-26";"1";"7";"2010-10-07 20:15:57";NULL
"116";"200304";"regular";"19";"2";"2003-10-26";"8";"4";"2010-10-07 20:15:57";NULL
"117";"200304";"regular";"19";"3";"2003-10-26";"29";"23";"2010-10-07 20:15:57";NULL
