"id";"nhl_player_id";"year";"season";"name";"team";"pos";"gp";"hmgp";"rdgp";"dvgp";"g";"ppg";"esg";"shg";"gwg";"gtg";"1g";"otg";"hmg";"rdg";"dvg";"odvg";"eng";"gpg";"a";"ppa";"esa";"sha";"hma";"rda";"dva";"odva";"apg";"p";"ppp";"esp";"shp";"hmp";"rdp";"dvp";"odvp";"ptspg";"pm";"hmpm";"rdpm";"dvpm";"odvpm";"tmgf";"tmppgf";"tmga";"tmppga";"pim";"hmpim";"rdpim";"hmpen";"rdpen";"minor";"major";"misc";"gmisc";"match";"s";"sp";"toi";"toipg";"pptoi";"pptoipg";"estoi";"estoipg";"shtoi";"shtoipg";"hmevtoipg";"hmpptoipg";"hmshtoipg";"hmtoipg";"rdevtoipg";"rdpptoipg";"rdshtoipg";"rdtoipg";"shifts";"toipsft";"sftpg";"fo";"fow";"fol";"fop";"ppfow";"ppfol";"esfow";"esfol";"hmfo";"hmfow";"hmfol";"hmfop";"rdfo";"rdfow";"rdfol";"rdfop";"tmfop";"hits";"bks";"mss";"gva";"tka";"so";"sog";"sop";"sodg";"hmso";"hmsog";"hmsop";"hmsodg";"rdso";"rdsog";"rdsop";"rdsodg"
"1";"632";"2010";"regular";"Marian Hossa";"CHI";"R";"7";"4";"3";"4";"7";"1";"6";"0";"1";NULL;"0";"0";"3";"4";"3";"4";"0";"1.00";"4";"2";"2";"0";"2";"2";"3";"1";"0.57";"11";"3";"8";"0";"5";"6";"6";"5";"1.57";"5";"0";"5";"2";"3";"12";"3";"6";"2";"6";"4";"2";"2";"1";"3";"0";"0";"0";"0";"20";"35.00";"8499";"1214";"1117";"159";"6525";"932";"857";"122";"960";"148";"86";"1195";"894";"174";"170";"1238";"189";"45";"27";"0";"0";"0";"0.00";NULL;NULL;NULL;NULL;"0";"0";"0";"0.00";"0";"0";"0";"0.00";"0.00";"3";"5";"4";"3";"5";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"2";"1020";"2010";"regular";"Brad Richards";"DAL";"C";"5";"2";"3";"0";"2";"1";"1";"0";"0";NULL;"1";"0";"1";"1";"0";"2";"0";"0.40";"8";"1";"7";"0";"4";"4";"0";"8";"1.60";"10";"2";"8";"0";"5";"5";"0";"10";"2.00";"8";"4";"4";"0";"8";"11";"2";"2";"1";"4";"2";"2";"1";"1";"2";"0";"0";"0";"0";"12";"16.70";"6467";"1293";"1589";"317";"4852";"970";"26";"5";"992";"236";"7";"1236";"955";"372";"3";"1331";"120";"54";"24";"63";"30";"33";"47.60";"0";"3";"30";"30";"24";"11";"13";"45.80";"39";"19";"20";"48.70";"22.90";"0";"2";"6";"5";"2";"2";"1";"50.00";"0";"1";"1";"100.00";"0";"1";"0";"0.00";"0"
"3";"3515";"2010";"regular";"Steven Stamkos";"TBL";"C";"5";"2";"3";"2";"5";"2";"3";"0";"1";NULL;"1";"0";"3";"2";"2";"3";"0";"1.00";"4";"2";"2";"0";"3";"1";"1";"3";"0.80";"9";"4";"5";"0";"6";"3";"3";"6";"1.80";"3";"1";"2";"1";"2";"10";"4";"4";"1";"6";"4";"2";"2";"1";"3";"0";"0";"0";"0";"23";"21.70";"5868";"1173";"1601";"320";"3979";"795";"288";"57";"747";"268";"67";"1082";"828";"355";"51";"1234";"121";"48";"24";"58";"29";"29";"50.00";"3";"2";"23";"23";"23";"14";"9";"60.90";"35";"15";"20";"42.90";"19.00";"4";"4";"7";"5";"2";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"4";"1462";"2010";"regular";"Patrick Sharp";"CHI";"L";"6";"3";"3";"3";"6";"2";"3";"1";"3";NULL;"1";"1";"3";"3";"3";"3";"0";"1.00";"2";"1";"1";"0";"1";"1";"1";"1";"0.33";"8";"3";"4";"1";"4";"4";"4";"4";"1.33";"-3";"-2";"-1";"-1";"-2";"10";"5";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"30";"20.00";"6715";"1119";"1336";"222";"4910";"818";"469";"78";"933";"194";"59";"1188";"703";"250";"96";"1050";"150";"45";"25";"63";"32";"31";"50.80";"1";"1";"29";"29";"31";"18";"13";"58.10";"32";"14";"18";"43.80";"18.40";"4";"2";"9";"2";"5";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"5";"2543";"2010";"regular";"Alex Ovechkin";"WSH";"L";"6";"4";"2";"1";"4";"0";"4";"0";"2";NULL;"0";"1";"4";"0";"0";"4";"0";"0.67";"4";"3";"1";"0";"2";"2";"1";"3";"0.67";"8";"3";"5";"0";"6";"2";"1";"7";"1.33";"0";"1";"-1";"0";"0";"9";"4";"5";"0";"6";"4";"2";"2";"1";"3";"0";"0";"0";"0";"27";"14.80";"8032";"1338";"2140";"356";"5874";"979";"18";"3";"934";"370";"1";"1305";"1068";"330";"6";"1405";"125";"64";"21";"1";"0";"1";"0.00";NULL;NULL;NULL;NULL;"1";"0";"1";"0.00";"0";"0";"0";"0.00";"0.20";"17";"2";"11";"8";"7";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"6";"2317";"2010";"regular";"Sidney Crosby";"PIT";"C";"7";"5";"2";"4";"4";"3";"1";"0";"0";NULL;"0";"0";"2";"2";"2";"2";"0";"0.57";"4";"1";"3";"0";"3";"1";"2";"2";"0.57";"8";"4";"4";"0";"5";"3";"4";"4";"1.14";"0";"-3";"3";"1";"-1";"12";"6";"6";"0";"2";"0";"2";"0";"1";"1";"0";"0";"0";"0";"29";"13.80";"9201";"1314";"2942";"420";"5925";"846";"334";"47";"885";"378";"55";"1318";"750";"524";"29";"1303";"153";"60";"22";"155";"91";"64";"58.70";"35";"16";"53";"41";"112";"66";"46";"58.90";"43";"25";"18";"58.10";"40.40";"13";"2";"12";"8";"3";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"7";"2052";"2010";"regular";"Ryan Getzlaf";"ANA";"C";"6";"3";"3";"1";"2";"2";"0";"0";"0";NULL;"1";"0";"2";"0";"0";"2";"0";"0.33";"6";"2";"4";"0";"6";"0";"2";"4";"1.00";"8";"4";"4";"0";"8";"0";"2";"6";"1.33";"0";"5";"-5";"3";"-3";"9";"4";"5";"0";"6";"0";"6";"0";"3";"3";"0";"0";"0";"0";"12";"16.70";"7622";"1270";"1563";"260";"6053";"1008";"6";"1";"972";"311";"2";"1285";"1045";"209";"0";"1255";"135";"56";"23";"96";"48";"48";"50.00";"14";"10";"34";"38";"49";"26";"23";"53.10";"47";"22";"25";"46.80";"26.50";"14";"5";"5";"5";"4";"1";"0";"0.00";"0";"1";"0";"0.00";"0";"0";"0";"0.00";"0"
"8";"1247";"2010";"regular";"Tomas Kopecky";"CHI";"R";"7";"4";"3";"4";"1";"0";"1";"0";"0";NULL;"0";"0";"0";"1";"1";"0";"0";"0.14";"7";"2";"5";"0";"3";"4";"3";"4";"1.00";"8";"2";"6";"0";"3";"5";"4";"4";"1.14";"5";"1";"4";"2";"3";"12";"3";"5";"1";"10";"4";"6";"2";"3";"5";"0";"0";"0";"0";"16";"6.30";"7703";"1100";"1469";"209";"5897";"842";"337";"48";"917";"185";"48";"1151";"743";"242";"47";"1032";"169";"46";"24";"4";"2";"2";"50.00";NULL;NULL;NULL;NULL;"2";"0";"2";"0.00";"2";"2";"0";"100.00";"1.00";"9";"1";"3";"3";"4";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"9";"1679";"2010";"regular";"John-Michael Liles";"COL";"D";"6";"1";"5";"0";"0";"0";"0";"0";"0";NULL;"0";"0";"0";"0";"0";"0";"0";"0.00";"8";"2";"6";"0";"2";"6";"0";"8";"1.33";"8";"2";"6";"0";"2";"6";"0";"8";"1.33";"6";"2";"4";"0";"6";"13";"3";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11";"0.00";"7926";"1321";"1213";"202";"6284";"1047";"429";"71";"1240";"134";"210";"1584";"1008";"215";"43";"1268";"162";"49";"27";"0";"0";"0";"0.00";NULL;NULL;NULL;NULL;"0";"0";"0";"0.00";"0";"0";"0";"0.00";"0.00";"5";"11";"4";"2";"2";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"10";"2716";"2010";"regular";"Phil Kessel";"TOR";"R";"5";"3";"2";"2";"5";"2";"3";"0";"2";NULL;"0";"1";"3";"2";"2";"3";"0";"1.00";"2";"1";"1";"0";"1";"1";"1";"1";"0.40";"7";"3";"4";"0";"4";"3";"3";"4";"1.40";"2";"1";"1";"1";"1";"7";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"21";"23.80";"5827";"1165";"1443";"288";"4378";"875";"6";"1";"910";"312";"2";"1225";"823";"253";"0";"1076";"101";"58";"20";"0";"0";"0";"0.00";NULL;NULL;NULL;NULL;"0";"0";"0";"0.00";"0";"0";"0";"0.00";"0.00";"2";"1";"2";"3";"2";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
